id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2234,PINK DISTRICT - Loft en Zona Rosa,179800202,BnButler,,CuauhtÈmoc,19.42718,-99.16491,Entire home/apt,799,2,129,23/12/2022,1.89,26,359,35,
2235,Condesa y sus encantos,117351566,Amelia,,CuauhtÈmoc,19.41209,-99.17578,Private room,486,2,83,23/12/2022,1.23,1,203,15,
2236,"New! Stunning 3 bdrm, Iconic Building, Down Town",2335100,Alejandra,,CuauhtÈmoc,19.43391,-99.15099,Entire home/apt,2728,1,351,07/12/2022,5.1,1,239,74,
2237,LUGAR CERCA DE TODO,117387193,Laura,,CuauhtÈmoc,19.46031,-99.14565,Shared room,350,1,0,,,1,364,0,
2238,"Departamento con mucho est√≠lo. M√©xico, su Historia",14562136,Karin,,CuauhtÈmoc,19.41606,-99.17848,Entire home/apt,2350,2,156,19/12/2022,2.21,1,115,47,
2239,Suite en el coraz√≥n de Zona Rosa,71673256,Julio Salvador,,CuauhtÈmoc,19.42608,-99.16562,Entire home/apt,979,3,165,22/12/2022,2.34,1,307,30,
2240,Beautiful private room in the heart of Condesa.,117389368,Kathryn,,CuauhtÈmoc,19.41125,-99.17632,Private room,1400,1,0,,,1,0,0,
2241,"Great Location, Privacy & Comfort, Tul√∫m",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,680,1,82,10/12/2022,1.15,32,183,6,
2242,Luxury apartment Santa Fe,47108652,Jorge,,¡lvaro ObregÛn,19.3739,-99.24574,Entire home/apt,3800,5,4,31/07/2020,0.13,1,72,0,
2243,Private Loft in Coyoacan (Mexico City),109269085,Malena Y Gustavo,,Coyoac·n,19.32882,-99.14659,Entire home/apt,440,4,169,24/09/2022,2.41,1,2,13,
2244,Stay Home & Work Remotely 200 mbps or Just Walk Around Rome,42436804,Setsuko,,CuauhtÈmoc,19.42046,-99.15529,Entire home/apt,1909,1,234,11/12/2022,3.28,9,225,30,
2245,Feel at home at La Condesa,92487712,Monica,,CuauhtÈmoc,19.4157,-99.17533,Entire home/apt,980,5,196,19/12/2022,2.77,1,262,35,
2246,Cozy ‚ô• Full Apt. in Coyoacan. Great for long stays,120634869,Diana,,Benito Ju·rez,19.36928,-99.16255,Entire home/apt,836,3,75,28/11/2022,1.07,3,38,15,
2247,Super bright bedroom blocks from Reforma,31350179,Gil,,CuauhtÈmoc,19.43789,-99.16444,Private room,679,2,1,14/11/2017,0.02,1,178,0,
2248,"Habitaci√≥n Privada, Ubicaci√≥n y Comodidad, Agave",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,817,1,125,11/12/2022,1.76,32,183,32,
2249,Polanco - Private Room 1 in M√©xico City,33566130,Sandra,,Miguel Hidalgo,19.44314,-99.20223,Private room,470,3,49,28/05/2021,0.71,2,78,0,
2250,Familia Amigable,115830810,Claudia,,Coyoac·n,19.34286,-99.13482,Private room,191,1,31,18/08/2020,0.44,1,351,0,
2251,Big and spacious room in a lovely condo.,94547651,Angel Jesus,,Coyoac·n,19.35438,-99.1594,Private room,900,1,15,23/01/2022,0.21,10,329,2,
2252,"Independent Cozy Studio En ""LA CONDESA""",93733966,Gabriela Garza Y Carlos,,CuauhtÈmoc,19.41139,-99.17473,Entire home/apt,563,2,166,12/12/2022,2.37,4,318,23,
2253,NiceHomi,53234423,Sara Roc√≠o,,La Magdalena Contreras,19.33251,-99.21378,Private room,290,1,34,07/12/2022,0.48,5,365,9,
2254,"CONDESA AMSTERDAM, 2 CUARTOS, 3 BA√ëOS, ROOF GARDEN",58709423,Marcela,,CuauhtÈmoc,19.412573,-99.167679,Entire home/apt,1941,10,3,25/10/2022,0.22,1,9,2,
2255,Apartment in the Heart of Condesa,35838665,Ulises,,CuauhtÈmoc,19.41211,-99.17572,Entire home/apt,1350,2,52,04/12/2022,0.78,1,352,15,
2256,C√≥modo departamento en el Centro,104099351,Marijose,,CuauhtÈmoc,19.42589,-99.15196,Entire home/apt,907,2,121,03/12/2022,1.72,2,261,18,
2257,Departamento en renta como  Habitaci√≥n,120651060,Abel,,Coyoac·n,19.31766,-99.16544,Shared room,196,1,3,19/12/2022,0.55,2,365,3,
2258,"R&B Downtown Apartment- El Centro, departamento",101123331,CuauhtÈmoc,,CuauhtÈmoc,19.43236,-99.14944,Entire home/apt,1064,1,276,17/12/2022,3.95,3,353,53,
2259,SWEET TROPICAL TOWNHOUSE - Roma/Cibeles,5974590,Chris,,CuauhtÈmoc,19.42238,-99.16601,Entire home/apt,5476,1,15,31/10/2022,0.31,6,355,6,
2260,Modern apartment (PA) two blocks from Polanco,107152631,Gabriela,,Miguel Hidalgo,19.42778,-99.17779,Entire home/apt,1071,2,29,14/12/2022,0.41,3,61,15,
